tokenID;name;description;fee_recipient;seller_fee_basis_points;file_name;image;external_url;attributes[Frame];attributes[Background];attributes[Holy Smoke];attributes[Darkness And Light];attributes[Bit];attributes[Cock Ring];attributes[Cum Shot];Dna
1;BiT #1;BiT #1  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;1.png;https://opensea.io/collection/bit-69/1.png;https://TattooCalypso.com/NFTs;Rare Abyss Blue;Crimson Red Relic;Common Rosee;Rare Black Corners;Common Naturtal;Common Cool Gray;Common Point Blanc;90c5cd9c477548d866c9c5a030f75ee4
2;BiT #2;BiT #2  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;2.png;https://opensea.io/collection/bit-69/2.png;https://TattooCalypso.com/NFTs;Rare Abyss Blue;Rare Bumbelbee;Common Orange Sift;Rare Black Corners;Purr Pull Relic Bit;Emerald Relic;Common Point Blanc;9742091117022e63e7625aaed2bd1d56
3;BiT #3;BiT #3  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;3.png;https://opensea.io/collection/bit-69/3.png;https://TattooCalypso.com/NFTs;Common Corroded;Rare Bumbelbee;Legendary Euphoria Blue;Rare Black Corners;Reddick Relic Bit;Common Kaki;Common Right Handed;c0bbcc66ad7b09bd255a617aab2c750a
4;BiT #4;BiT #4  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;4.png;https://opensea.io/collection/bit-69/4.png;https://TattooCalypso.com/NFTs;Rare Abyss Blue;Common Alpha Blue;Common Rosee;Common Light And Dark;Common Naturtal;Rare Flamboyant Orange;Rare Fountain;f9654090289c87b7ede340a2667df432
5;BiT #5;BiT #5  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;5.png;https://opensea.io/collection/bit-69/5.png;https://TattooCalypso.com/NFTs;Common Corroded;Rare Rare Apple Green;Mellow Yellow Relic;Common Light And Dark;Rare Miss Piggy Bit;Common Kaki;Common Point Blanc;e16c5b488556b7598a13818651f38962
6;BiT #6;BiT #6  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;6.png;https://opensea.io/collection/bit-69/6.png;https://TattooCalypso.com/NFTs;Common Chocolate;Rare Rare Apple Green;Common Orange Sift;Ocean Spray Relic;Rare Miss Piggy Bit;Ron Jeremi;Common Point Blanc;4a4635d0c17ffaed3e44fac4f2fc7a9c
7;BiT #7;BiT #7  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;7.png;https://opensea.io/collection/bit-69/7.png;https://TattooCalypso.com/NFTs;Leviathan Purple Relic;Common Atomik Yellow;Common Rosee;Rare Black Corners;Rare Miss Piggy Bit;Rare Vert De Gris;Common Point Blanc;0318f0d50494713cec175fde3c244ccf
8;BiT #8;BiT #8  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;8.png;https://opensea.io/collection/bit-69/8.png;https://TattooCalypso.com/NFTs;Common Chocolate;Legendary Papaya Pink;Rare Sex Bomb;Common Green Dream;Rare Miss Piggy Bit;Rare Vert De Gris;Common Point Blanc;242699108a64e871598a097e3ef86f2d
9;BiT #9;BiT #9  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;9.png;https://opensea.io/collection/bit-69/9.png;https://TattooCalypso.com/NFTs;Rare Abyss Blue;Rare Bumbelbee;Rare Sex Bomb;Common Green Dream;Common Lolypop;Common Frog;Rare Fountain;62e738999c81d3e27eaed801e8932a44
10;BiT #10;BiT #10  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;10.png;https://opensea.io/collection/bit-69/10.png;https://TattooCalypso.com/NFTs;Common Corroded;Common Atomik Yellow;Common Orange Sift;Common Light And Dark;Common Naturtal;Common Cool Gray;Common Right Handed;aa939812a67fa739685f68173c5c6f39
